sample_accuracy,sample_tp,sample_tn,sample_fp,sample_fn,num_samples,top1_idx,top1_positive,has_positive,top1_tp,top1_fp,top1_tn,top1_fn,prediction_idx,prediction_class,prediction_accuracy,prediction_tp,prediction_tn,prediction_fp,prediction_fn,model_params,verifier_subset,weaver_sample_scores,class_balance,problem,set,close_train_idx,distance,difficulty
0.32,26,6,0,68,100,2,1,1,1,0,0,0,2,1,1,1,0,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.45212201506178645, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.45212201506178645, 0.45212201506178645, 0.45212201506178645, 0.10987076280292846, 0.4023867610977545, 0.45212201506178645, 0.10987076280292846, 0.4023867610977545, 0.45212201506178645, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.45212201506178645, 0.9645242500435172, 0.4023867610977545, 0.8182344565917195, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.10987076280292846, 0.8328906272418104, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.45212201506178645, 0.4023867610977545, 0.9645242500435172, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.8182344565917195, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.9645242500435172, 0.45212201506178645, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.8182344565917195]",0.94,0,test,,0.0,9
0.74,66,8,0,26,100,3,1,1,1,0,0,0,3,1,1,1,0,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.8182344565917195, 0.8328906272418104, 0.4023867610977545, 0.9645242500435172, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.9645242500435172, 0.8182344565917195, 0.9645242500435172, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.9645242500435172, 0.8182344565917195, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.8328906272418104, 0.9645242500435172, 0.9645242500435172, 0.45212201506178645, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.9645242500435172, 0.8182344565917195, 0.8026316733576279, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.9645242500435172, 0.8182344565917195, 0.10987076280292846, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.9645242500435172, 0.9645242500435172, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.9645242500435172, 0.45212201506178645, 0.10987076280292846, 0.8182344565917195, 0.4023867610977545, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.9645242500435172, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.8182344565917195, 0.4023867610977545, 0.4023867610977545, 0.9645242500435172, 0.8182344565917195, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.8182344565917195, 0.8182344565917195, 0.9645242500435172, 0.4023867610977545, 0.9645242500435172, 0.8026316733576279, 0.4023867610977545, 0.9645242500435172, 0.8182344565917195, 0.4023867610977545, 0.8182344565917195, 0.10987076280292846, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.4023867610977545, 0.9645242500435172]",0.92,1,test,,0.0,9
0.33,1,32,0,67,100,17,1,1,1,0,0,0,17,1,1,1,0,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545]",0.68,2,test,,0.0,6
0.66,37,29,0,34,100,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.8182344565917195, 0.8182344565917195, 0.9645242500435172, 0.10987076280292846, 0.8182344565917195, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.8328906272418104, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.10987076280292846, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.8182344565917195, 0.8328906272418104, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.9645242500435172, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.8182344565917195, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.9645242500435172, 0.9645242500435172, 0.45212201506178645, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.9645242500435172, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.8182344565917195, 0.4023867610977545]",0.71,3,test,,0.0,7
0.72,0,72,0,28,100,82,1,1,1,0,0,0,0,0,1,0,1,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.45212201506178645, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846]",0.28,4,test,,0.0,2
0.63,31,32,5,32,100,6,1,1,1,0,0,0,6,1,1,1,0,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.8182344565917195, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.8182344565917195, 0.10987076280292846, 0.9645242500435172, 0.8328906272418104, 0.10987076280292846, 0.9645242500435172, 0.8182344565917195, 0.8182344565917195, 0.4023867610977545, 0.9645242500435172, 0.10987076280292846, 0.9645242500435172, 0.10987076280292846, 0.8328906272418104, 0.8182344565917195, 0.10987076280292846, 0.45212201506178645, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.10987076280292846, 0.8328906272418104, 0.45212201506178645, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.8328906272418104, 0.10987076280292846, 0.10987076280292846, 0.8328906272418104, 0.9645242500435172, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.8182344565917195, 0.4023867610977545, 0.8328906272418104, 0.10987076280292846, 0.45212201506178645, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.45212201506178645, 0.4023867610977545, 0.8182344565917195, 0.8328906272418104, 0.4023867610977545, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.45212201506178645, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.8328906272418104, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.8182344565917195, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.45212201506178645, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.8182344565917195, 0.8182344565917195, 0.9645242500435172, 0.4023867610977545, 0.9645242500435172, 0.10987076280292846, 0.42709644232268407, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.45212201506178645, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.8182344565917195, 0.8182344565917195, 0.10987076280292846, 0.45212201506178645]",0.63,5,test,,0.0,6
0.99,2,97,1,0,100,23,1,1,1,0,0,0,0,0,1,0,1,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.8182344565917195, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545]",0.02,6,test,,0.0,0
0.17,13,4,0,83,100,33,1,1,1,0,0,0,33,1,1,1,0,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.8182344565917195, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.8026316733576279, 0.4023867610977545, 0.4023867610977545, 0.8182344565917195, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.8182344565917195, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.45212201506178645, 0.4023867610977545, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.8182344565917195, 0.8182344565917195, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.4023867610977545, 0.8182344565917195, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.8182344565917195, 0.10987076280292846, 0.9645242500435172, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545]",0.96,7,test,,0.0,9
0.74,31,43,0,26,100,5,1,1,1,0,0,0,5,1,1,1,0,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.10987076280292846, 0.8182344565917195, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.8182344565917195, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.8182344565917195, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.4023867610977545, 0.9645242500435172, 0.4023867610977545, 0.8182344565917195, 0.9645242500435172, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.8182344565917195, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.8182344565917195, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.4023867610977545, 0.4023867610977545, 0.8182344565917195, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.9645242500435172, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.8182344565917195, 0.9645242500435172, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.8182344565917195, 0.10987076280292846, 0.9645242500435172]",0.57,8,test,,0.0,5
0.79,0,79,0,21,100,16,0,1,0,0,0,1,0,0,1,0,1,0,0,"(array([0.55879849, 0.67265487, 0.49144965]), array([0.84062505, 0.72495449, 0.8600322 ]), array([0.16311719, 0.28036088, 0.14103907]), array([0.43073991, 0.3188535 , 0.49617964]))","['QwenPRM_avg_scores (7.63B)', 'EurusPRMStage1_min_scores (7.62B)', 'QwenPRM_min_scores (7.63B)']","[0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.4023867610977545, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.4023867610977545, 0.10987076280292846, 0.10987076280292846, 0.10987076280292846]",0.21,9,test,,0.0,2
